Datum;Cas od;Cas do;859182400312449370-859182400306241157;859182400312449370-859182400604806744;859182400611509249-859182400302838511
02.06.2025;18:15;18:30;0,03;0,0;0,0;
02.06.2025;18:30;18:45;0,02;0,0;0,0;
02.06.2025;18:45;19:00;0,0;0,0;0,0;
02.06.2025;19:00;19:15;0,0;0,0;0,02;
02.06.2025;19:15;19:30;0,0;0,0;0,02;
02.06.2025;19:30;19:45;0,0;0,0;0,0;
02.06.2025;19:45;20:00;0,0;0,0;0,01;
02.06.2025;20:00;20:15;0,0;0,0;0,01;
02.06.2025;20:15;20:30;0,0;0,0;0,0;
02.06.2025;20:30;20:45;0,0;0,0;0,01;
02.06.2025;20:45;21:00;0,0;0,0;0,01;
02.06.2025;21:00;21:15;0,0;0,0;0,0;
02.06.2025;21:15;21:30;0,0;0,0;0,01;
02.06.2025;21:30;21:45;0,0;0,0;0,01;
02.06.2025;21:45;22:00;0,0;0,0;0,0;
02.06.2025;22:00;22:15;0,0;0,0;0,01;
02.06.2025;22:15;22:30;0,0;0,0;0,0;
02.06.2025;22:30;22:45;0,0;0,0;0,01;
02.06.2025;22:45;23:00;0,0;0,0;0,01;
02.06.2025;23:00;23:15;0,0;0,0;0,01;
02.06.2025;23:15;23:30;0,0;0,0;0,01;
02.06.2025;23:30;23:45;0,0;0,01;0,01;
02.06.2025;23:45;00:00;0,0;0,0;0,01;
03.06.2025;00:00;00:15;0,0;0,0;0,01;
03.06.2025;00:15;00:30;0,0;0,0;0,0;
03.06.2025;00:30;00:45;0,0;0,0;0,01;
03.06.2025;00:45;01:00;0,0;0,0;0,0;
03.06.2025;01:00;01:15;0,0;0,0;0,01;
03.06.2025;01:15;01:30;0,0;0,0;0,0;
03.06.2025;01:30;01:45;0,0;0,0;0,01;
03.06.2025;01:45;02:00;0,0;0,0;0,0;
03.06.2025;02:00;02:15;0,0;0,0;0,01;
03.06.2025;02:15;02:30;0,0;0,0;0,0;
03.06.2025;02:30;02:45;0,0;0,0;0,0;
03.06.2025;02:45;03:00;0,0;0,0;0,0;
03.06.2025;03:00;03:15;0,0;0,0;0,01;
03.06.2025;03:15;03:30;0,0;0,0;0,0;
03.06.2025;03:30;03:45;0,0;0,0;0,01;
03.06.2025;03:45;04:00;0,0;0,0;0,0;
03.06.2025;04:00;04:15;0,0;0,0;0,01;
03.06.2025;04:15;04:30;0,0;0,0;0,0;
03.06.2025;04:30;04:45;0,0;0,0;0,01;
03.06.2025;04:45;05:00;0,0;0,0;0,0;
03.06.2025;05:00;05:15;0,0;0,0;0,01;
03.06.2025;05:15;05:30;0,0;0,0;0,01;
03.06.2025;05:30;05:45;0,0;0,0;0,0;
03.06.2025;05:45;06:00;0,0;0,0;0,0;
03.06.2025;06:00;06:15;0,0;0,0;0,01;
03.06.2025;06:15;06:30;0,0;0,0;0,01;
03.06.2025;06:30;06:45;0,0;0,0;0,0;
03.06.2025;06:45;07:00;0,0;0,0;0,0;
03.06.2025;07:00;07:15;0,0;0,0;0,01;
03.06.2025;07:15;07:30;0,0;0,0;0,01;
03.06.2025;07:30;07:45;0,0;0,0;0,01;
03.06.2025;07:45;08:00;0,0;0,0;0,0;
03.06.2025;08:00;08:15;0,0;0,0;0,01;
03.06.2025;08:15;08:30;0,0;0,0;0,0;
03.06.2025;08:30;08:45;0,0;0,01;0,0;
03.06.2025;08:45;09:00;0,0;0,0;0,0;
03.06.2025;09:00;09:15;0,0;0,01;0,01;
03.06.2025;09:15;09:30;0,0;0,0;0,01;
03.06.2025;09:30;09:45;0,0;0,0;0,0;
03.06.2025;09:45;10:00;0,0;0,0;0,0;
03.06.2025;10:00;10:15;0,0;0,0;0,01;
03.06.2025;10:15;10:30;0,0;0,0;0,0;
03.06.2025;10:30;10:45;0,0;0,0;0,0;
03.06.2025;10:45;11:00;0,0;0,0;0,01;
03.06.2025;11:00;11:15;0,0;0,0;0,01;
03.06.2025;11:15;11:30;0,0;0,0;0,0;
03.06.2025;11:30;11:45;0,0;0,0;0,01;
03.06.2025;11:45;12:00;0,0;0,0;0,0;
03.06.2025;12:00;12:15;0,0;0,0;0,0;
03.06.2025;12:15;12:30;0,0;0,0;0,01;
03.06.2025;12:30;12:45;0,0;0,0;0,01;
03.06.2025;12:45;13:00;0,03;0,0;0,01;
03.06.2025;13:00;13:15;0,02;0,0;0,02;
03.06.2025;13:15;13:30;0,02;0,0;0,01;
03.06.2025;13:30;13:45;0,01;0,0;0,0;
03.06.2025;13:45;14:00;0,0;0,0;0,0;
03.06.2025;14:00;14:15;0,0;0,0;0,0;
03.06.2025;14:15;14:30;0,02;0,0;0,0;
03.06.2025;14:30;14:45;0,03;0,0;0,0;
03.06.2025;14:45;15:00;0,03;0,0;0,0;
03.06.2025;15:00;15:15;0,03;0,0;0,0;
03.06.2025;15:15;15:30;0,03;0,0;0,0;
03.06.2025;15:30;15:45;0,02;0,0;0,0;
03.06.2025;15:45;16:00;0,03;0,0;0,01;
03.06.2025;16:00;16:15;0,0;0,0;0,02;
03.06.2025;16:15;16:30;0,0;0,0;0,02;
03.06.2025;16:30;16:45;0,0;0,0;0,0;
03.06.2025;16:45;17:00;0,02;0,0;0,0;
03.06.2025;17:00;17:15;0,02;0,0;0,0;
03.06.2025;17:15;17:30;0,03;0,0;0,0;
03.06.2025;17:30;17:45;0,01;0,0;0,0;
03.06.2025;17:45;18:00;0,0;0,0;0,0;
03.06.2025;18:00;18:15;0,01;0,0;0,0;
03.06.2025;18:15;18:30;0,01;0,0;0,0;
03.06.2025;18:30;18:45;0,02;0,0;0,0;
03.06.2025;18:45;19:00;0,02;0,0;0,0;
03.06.2025;19:00;19:15;0,02;0,0;0,0;
03.06.2025;19:15;19:30;0,01;0,0;0,0;
03.06.2025;19:30;19:45;0,0;0,0;0,0;
03.06.2025;19:45;20:00;0,0;0,0;0,01;
03.06.2025;20:00;20:15;0,0;0,0;0,01;
03.06.2025;20:15;20:30;0,0;0,01;0,01;
03.06.2025;20:30;20:45;0,0;0,0;0,01;
03.06.2025;20:45;21:00;0,0;0,0;0,0;
03.06.2025;21:00;21:15;0,0;0,0;0,01;
03.06.2025;21:15;21:30;0,0;0,01;0,01;
03.06.2025;21:30;21:45;0,0;0,01;0,02;
03.06.2025;21:45;22:00;0,0;0,0;0,01;
03.06.2025;22:00;22:15;0,0;0,0;0,01;
03.06.2025;22:15;22:30;0,0;0,0;0,0;
03.06.2025;22:30;22:45;0,0;0,0;0,01;
03.06.2025;22:45;23:00;0,0;0,0;0,0;
03.06.2025;23:00;23:15;0,0;0,0;0,01;
03.06.2025;23:15;23:30;0,0;0,0;0,0;
03.06.2025;23:30;23:45;0,0;0,0;0,01;
03.06.2025;23:45;00:00;0,0;0,0;0,01;
04.06.2025;00:00;00:15;0,0;0,0;0,0;
04.06.2025;00:15;00:30;0,0;0,0;0,01;
04.06.2025;00:30;00:45;0,0;0,0;0,01;
04.06.2025;00:45;01:00;0,0;0,0;0,01;
04.06.2025;01:00;01:15;0,0;0,0;0,0;
04.06.2025;01:15;01:30;0,0;0,0;0,01;
04.06.2025;01:30;01:45;0,0;0,0;0,01;
04.06.2025;01:45;02:00;0,0;0,0;0,0;
04.06.2025;02:00;02:15;0,0;0,0;0,01;
04.06.2025;02:15;02:30;0,0;0,0;0,0;
04.06.2025;02:30;02:45;0,0;0,0;0,01;
04.06.2025;02:45;03:00;0,0;0,0;0,01;
04.06.2025;03:00;03:15;0,0;0,0;0,01;
04.06.2025;03:15;03:30;0,0;0,0;0,0;
04.06.2025;03:30;03:45;0,0;0,0;0,0;
04.06.2025;03:45;04:00;0,0;0,0;0,01;
04.06.2025;04:00;04:15;0,0;0,0;0,01;
04.06.2025;04:15;04:30;0,0;0,0;0,01;
04.06.2025;04:30;04:45;0,0;0,0;0,0;
04.06.2025;04:45;05:00;0,0;0,0;0,01;
04.06.2025;05:00;05:15;0,0;0,0;0,01;
04.06.2025;05:15;05:30;0,0;0,0;0,0;
04.06.2025;05:30;05:45;0,0;0,0;0,01;
04.06.2025;05:45;06:00;0,0;0,0;0,01;
04.06.2025;06:00;06:15;0,0;0,0;0,0;
04.06.2025;06:15;06:30;0,0;0,0;0,01;
04.06.2025;06:30;06:45;0,0;0,0;0,01;
04.06.2025;06:45;07:00;0,0;0,0;0,0;
04.06.2025;07:00;07:15;0,0;0,0;0,0;
04.06.2025;07:15;07:30;0,0;0,0;0,0;
04.06.2025;07:30;07:45;0,0;0,01;0,01;
04.06.2025;07:45;08:00;0,0;0,0;0,01;
04.06.2025;08:00;08:15;0,0;0,0;0,01;
04.06.2025;08:15;08:30;0,0;0,0;0,0;
04.06.2025;08:30;08:45;0,0;0,01;0,01;
04.06.2025;08:45;09:00;0,0;0,0;0,01;
04.06.2025;09:00;09:15;0,0;0,0;0,0;
04.06.2025;09:15;09:30;0,0;0,0;0,01;
04.06.2025;09:30;09:45;0,0;0,0;0,01;
04.06.2025;09:45;10:00;0,0;0,0;0,01;
04.06.2025;10:00;10:15;0,0;0,0;0,0;
04.06.2025;10:15;10:30;0,0;0,0;0,02;
04.06.2025;10:30;10:45;0,0;0,0;0,0;
04.06.2025;10:45;11:00;0,03;0,0;0,01;
04.06.2025;11:00;11:15;0,11;0,0;0,0;
04.06.2025;11:15;11:30;0,15;0,0;0,0;
04.06.2025;11:30;11:45;0,06;0,0;0,0;
04.06.2025;11:45;12:00;0,17;0,0;0,0;
04.06.2025;12:00;12:15;0,01;0,0;0,0;
04.06.2025;12:15;12:30;0,02;0,0;0,0;
04.06.2025;12:30;12:45;0,04;0,0;0,0;
04.06.2025;12:45;13:00;0,02;0,0;0,0;
04.06.2025;13:00;13:15;0,0;0,0;0,01;
04.06.2025;13:15;13:30;0,01;0,0;0,01;
04.06.2025;13:30;13:45;0,0;0,0;0,0;
04.06.2025;13:45;14:00;0,01;0,0;0,0;
04.06.2025;14:00;14:15;0,03;0,0;0,0;
04.06.2025;14:15;14:30;0,02;0,0;0,0;
04.06.2025;14:30;14:45;0,02;0,0;0,0;
04.06.2025;14:45;15:00;0,0;0,0;0,0;
04.06.2025;15:00;15:15;0,0;0,0;0,0;
04.06.2025;15:15;15:30;0,01;0,0;0,0;
04.06.2025;15:30;15:45;0,02;0,08;0,0;
04.06.2025;15:45;16:00;0,03;0,08;0,0;
04.06.2025;16:00;16:15;0,01;0,05;0,01;
04.06.2025;16:15;16:30;0,0;0,07;0,01;
04.06.2025;16:30;16:45;0,0;0,0;0,01;
04.06.2025;16:45;17:00;0,0;0,05;0,0;
04.06.2025;17:00;17:15;0,04;0,04;0,0;
04.06.2025;17:15;17:30;0,09;0,04;0,0;
04.06.2025;17:30;17:45;0,05;0,05;0,0;
04.06.2025;17:45;18:00;0,07;0,06;0,0;
04.06.2025;18:00;18:15;0,08;0,08;0,0;
04.06.2025;18:15;18:30;0,07;0,03;0,0;
04.06.2025;18:30;18:45;0,02;0,06;0,0;
04.06.2025;18:45;19:00;0,03;0,04;0,0;
04.06.2025;19:00;19:15;0,01;0,03;0,0;
04.06.2025;19:15;19:30;0,01;0,03;0,0;
04.06.2025;19:30;19:45;0,0;0,01;0,0;
04.06.2025;19:45;20:00;0,0;0,01;0,0;
04.06.2025;20:00;20:15;0,0;0,0;0,01;
04.06.2025;20:15;20:30;0,0;0,0;0,01;
04.06.2025;20:30;20:45;0,0;0,0;0,01;
04.06.2025;20:45;21:00;0,0;0,0;0,0;
04.06.2025;21:00;21:15;0,0;0,0;0,01;
04.06.2025;21:15;21:30;0,0;0,0;0,01;
04.06.2025;21:30;21:45;0,0;0,0;0,0;
04.06.2025;21:45;22:00;0,0;0,0;0,01;
04.06.2025;22:00;22:15;0,0;0,0;0,01;
04.06.2025;22:15;22:30;0,0;0,0;0,0;
04.06.2025;22:30;22:45;0,0;0,0;0,01;
04.06.2025;22:45;23:00;0,0;0,0;0,01;
04.06.2025;23:00;23:15;0,0;0,0;0,0;
04.06.2025;23:15;23:30;0,0;0,0;0,01;
04.06.2025;23:30;23:45;0,0;0,0;0,0;
04.06.2025;23:45;00:00;0,0;0,0;0,01;
05.06.2025;00:00;00:15;0,0;0,0;0,0;
05.06.2025;00:15;00:30;0,0;0,0;0,0;
05.06.2025;00:30;00:45;0,0;0,0;0,01;
05.06.2025;00:45;01:00;0,0;0,0;0,0;
05.06.2025;01:00;01:15;0,0;0,0;0,01;
05.06.2025;01:15;01:30;0,0;0,0;0,01;
05.06.2025;01:30;01:45;0,0;0,0;0,0;
05.06.2025;01:45;02:00;0,0;0,0;0,01;
05.06.2025;02:00;02:15;0,0;0,0;0,0;
05.06.2025;02:15;02:30;0,0;0,0;0,01;
05.06.2025;02:30;02:45;0,0;0,0;0,01;
05.06.2025;02:45;03:00;0,0;0,0;0,0;
05.06.2025;03:00;03:15;0,0;0,0;0,01;
05.06.2025;03:15;03:30;0,0;0,0;0,01;
05.06.2025;03:30;03:45;0,0;0,0;0,01;
05.06.2025;03:45;04:00;0,0;0,0;0,0;
05.06.2025;04:00;04:15;0,0;0,0;0,01;
05.06.2025;04:15;04:30;0,0;0,0;0,0;
05.06.2025;04:30;04:45;0,0;0,0;0,0;
05.06.2025;04:45;05:00;0,0;0,0;0,01;
05.06.2025;05:00;05:15;0,0;0,0;0,01;
05.06.2025;05:15;05:30;0,0;0,0;0,01;
05.06.2025;05:30;05:45;0,0;0,0;0,01;
05.06.2025;05:45;06:00;0,0;0,0;0,0;
05.06.2025;06:00;06:15;0,0;0,0;0,0;
05.06.2025;06:15;06:30;0,0;0,0;0,0;
05.06.2025;06:30;06:45;0,0;0,0;0,0;
05.06.2025;06:45;07:00;0,0;0,01;0,0;
05.06.2025;07:00;07:15;0,0;0,0;0,01;
05.06.2025;07:15;07:30;0,0;0,0;0,01;
05.06.2025;07:30;07:45;0,0;0,0;0,01;
05.06.2025;07:45;08:00;0,0;0,0;0,01;
05.06.2025;08:00;08:15;0,0;0,0;0,0;
05.06.2025;08:15;08:30;0,0;0,0;0,01;
05.06.2025;08:30;08:45;0,0;0,0;0,0;
05.06.2025;08:45;09:00;0,0;0,01;0,01;
05.06.2025;09:00;09:15;0,0;0,0;0,01;
05.06.2025;09:15;09:30;0,0;0,0;0,01;
05.06.2025;09:30;09:45;0,0;0,0;0,01;
05.06.2025;09:45;10:00;0,0;0,0;0,0;
05.06.2025;10:00;10:15;0,0;0,0;0,0;
05.06.2025;10:15;10:30;0,0;0,0;0,02;
05.06.2025;10:30;10:45;0,0;0,0;0,0;
05.06.2025;10:45;11:00;0,0;0,0;0,01;
05.06.2025;11:00;11:15;0,0;0,0;0,01;
05.06.2025;11:15;11:30;0,0;0,0;0,38;
05.06.2025;11:30;11:45;0,0;0,0;0,17;
05.06.2025;11:45;12:00;0,0;0,0;0,02;
05.06.2025;12:00;12:15;0,0;0,0;0,01;
05.06.2025;12:15;12:30;0,0;0,0;0,0;
05.06.2025;12:30;12:45;0,0;0,0;0,01;
05.06.2025;12:45;13:00;0,0;0,0;0,01;
05.06.2025;13:00;13:15;0,0;0,0;0,01;
05.06.2025;13:15;13:30;0,0;0,0;0,23;
05.06.2025;13:30;13:45;0,0;0,0;0,36;
05.06.2025;13:45;14:00;0,0;0,0;0,3;
05.06.2025;14:00;14:15;0,0;0,0;0,3;
05.06.2025;14:15;14:30;0,0;0,0;0,27;
05.06.2025;14:30;14:45;0,0;0,0;0,22;
05.06.2025;14:45;15:00;0,0;0,0;0,27;
05.06.2025;15:00;15:15;0,0;0,0;0,06;
05.06.2025;15:15;15:30;0,0;0,0;0,02;
05.06.2025;15:30;15:45;0,0;0,0;0,01;
05.06.2025;15:45;16:00;0,0;0,0;0,02;
05.06.2025;16:00;16:15;0,0;0,0;0,01;
05.06.2025;16:15;16:30;0,0;0,0;0,02;
05.06.2025;16:30;16:45;0,0;0,0;0,02;
05.06.2025;16:45;17:00;0,0;0,0;0,0;
05.06.2025;17:00;17:15;0,0;0,0;0,01;
05.06.2025;17:15;17:30;0,0;0,0;0,05;
05.06.2025;17:30;17:45;0,0;0,0;0,16;
05.06.2025;17:45;18:00;0,0;0,0;0,13;
05.06.2025;18:00;18:15;0,0;0,0;0,23;
05.06.2025;18:15;18:30;0,0;0,0;0,16;
05.06.2025;18:30;18:45;0,0;0,0;0,12;
05.06.2025;18:45;19:00;0,0;0,0;0,05;
05.06.2025;19:00;19:15;0,0;0,0;0,05;
05.06.2025;19:15;19:30;0,0;0,0;0,09;
05.06.2025;19:30;19:45;0,0;0,0;0,02;
05.06.2025;19:45;20:00;0,0;0,0;0,01;
05.06.2025;20:00;20:15;0,0;0,0;0,0;
05.06.2025;20:15;20:30;0,0;0,0;0,02;
05.06.2025;20:30;20:45;0,0;0,0;0,01;
05.06.2025;20:45;21:00;0,0;0,0;0,01;
05.06.2025;21:00;21:15;0,0;0,0;0,02;
